"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7655","TC_01: Register new user","chromium","Sun Dec 28 20:15:47 CST 2025","passed","Sun Dec 28 20:15:55 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","3633","TC_03: Login User with incorrect email and password","webkit","Sun Dec 28 20:18:29 CST 2025","passed","Sun Dec 28 20:18:33 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","21596","TC_20: Search Products and Verify Cart After Login","webkit","Sun Dec 28 20:17:39 CST 2025","passed","Sun Dec 28 20:18:00 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","18191","TC_16: Place Order: Login before Checkout","firefox","Sun Dec 28 20:16:41 CST 2025","passed","Sun Dec 28 20:16:59 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","5980","TC_18: View Category Products","webkit","Sun Dec 28 20:18:39 CST 2025","passed","Sun Dec 28 20:18:45 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","14832","TC_11: Verify Subscription in Cart page","chromium","Sun Dec 28 20:14:49 CST 2025","passed","Sun Dec 28 20:15:04 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","2569","TC_25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality","chromium","Sun Dec 28 20:15:45 CST 2025","passed","Sun Dec 28 20:15:47 CST 2025","Home Page functionalities","home.spec.ts","",""
"","28547","TC_23: Verify address details in checkout page","chromium","Sun Dec 28 20:15:23 CST 2025","passed","Sun Dec 28 20:15:51 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","5047","TC_05: Register User with existing email","chromium","Wed Dec 17 22:35:03 CST 2025","passed","Wed Dec 17 22:35:08 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","4632","TC_02: Login User with correct email and password","webkit","Sun Dec 28 20:18:29 CST 2025","passed","Sun Dec 28 20:18:33 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","26279","TC_15: Place Order: Register before Checkout","chromium","Sun Dec 28 20:15:16 CST 2025","passed","Sun Dec 28 20:15:42 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","28506","TC_17: Remove Products From Cart","chromium","Sun Dec 28 20:14:49 CST 2025","passed","Sun Dec 28 20:15:18 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","2640","TC_10: Verify Subscription in home page","chromium","Sun Dec 28 20:15:42 CST 2025","passed","Sun Dec 28 20:15:45 CST 2025","Home Page functionalities","home.spec.ts","",""
"","4549","TC_03: Login User with incorrect email and password","chromium","Sun Dec 28 20:15:51 CST 2025","passed","Sun Dec 28 20:15:56 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","22028","TC_17: Remove Products From Cart","firefox","Sun Dec 28 20:16:19 CST 2025","passed","Sun Dec 28 20:16:41 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","2709","TC_26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","chromium","Sun Dec 28 20:15:47 CST 2025","passed","Sun Dec 28 20:15:50 CST 2025","Home Page functionalities","home.spec.ts","",""
"","9612","TC_22: Add to cart from Recommended items","webkit","Sun Dec 28 20:17:42 CST 2025","passed","Sun Dec 28 20:17:52 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","9116","TC_22: Add to cart from Recommended items","chromium","Sun Dec 28 20:15:07 CST 2025","passed","Sun Dec 28 20:15:16 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","25582","TC_24: Download Invoice after purchase order","firefox","Sun Dec 28 20:16:56 CST 2025","passed","Sun Dec 28 20:17:22 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","11349","TC_05: Register User with existing email","firefox","Wed Dec 17 22:36:56 CST 2025","passed","Wed Dec 17 22:37:08 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","13398","TC_26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","webkit","Wed Dec 17 13:48:11 CST 2025","passed","Wed Dec 17 13:48:25 CST 2025","Home Page functionalities","home.spec.ts","",""
"","5472","TC_03: Login User with incorrect email and password","firefox","Sun Dec 28 20:17:08 CST 2025","passed","Sun Dec 28 20:17:13 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","27087","TC_14: Place Order: Register while Checkout","firefox","Sun Dec 28 20:16:29 CST 2025","passed","Sun Dec 28 20:16:56 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","10430","TC_22: Add to cart from Recommended items","firefox","Sun Dec 28 20:16:22 CST 2025","passed","Sun Dec 28 20:16:33 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","8446","TC_11: Verify Subscription in Cart page","webkit","Sun Dec 28 20:17:30 CST 2025","passed","Sun Dec 28 20:17:38 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","29725","TC_24: Download Invoice after purchase order","chromium","Sun Dec 28 20:15:38 CST 2025","passed","Sun Dec 28 20:16:08 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","30587","TC_14: Place Order: Register while Checkout","webkit","Sun Dec 28 20:17:47 CST 2025","passed","Sun Dec 28 20:18:18 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","17797","TC_20: Search Products and Verify Cart After Login","chromium","Sun Dec 28 20:15:05 CST 2025","passed","Sun Dec 28 20:15:23 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","15440","TC_19: View & Cart Brand Products","firefox","Sun Dec 28 20:17:21 CST 2025","passed","Sun Dec 28 20:17:36 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","7080","TC_02: Login User with correct email and password","chromium","Sun Dec 28 20:15:50 CST 2025","passed","Sun Dec 28 20:15:57 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","18077","TC_12: Add Products in Cart","firefox","Sun Dec 28 20:16:10 CST 2025","passed","Sun Dec 28 20:16:28 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","32400","TC_24: Download Invoice after purchase order","webkit","Sun Dec 28 20:18:18 CST 2025","passed","Sun Dec 28 20:18:50 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","5139","TC_21: Add review on product","firefox","Sun Dec 28 20:17:22 CST 2025","passed","Sun Dec 28 20:17:27 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","10258","TC_13: Verify Product quantity in Cart","firefox","Sun Dec 28 20:16:10 CST 2025","passed","Sun Dec 28 20:16:20 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","21830","TC_16: Place Order: Login before Checkout","webkit","Sun Dec 28 20:18:00 CST 2025","passed","Sun Dec 28 20:18:22 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
